feature,importance
sku_concentration,4764.4
zone_dispersion,3173.2
floor_area_sqm,3028.4
layout_compactness,2947.2
aisle_width_avg,2747.6
pack_station_count,2746.4
one_way_ratio,2726.8
avg_trip_distance_roll10_mean,2421.8
ceiling_height_m,2417.8
fire_sprinkler_count,2384.4
avg_trip_distance_roll5_mean,2243.2
manual_override_ratio,2234.6
intersection_count,2149.0
avg_items_per_order,2140.4
building_age_years,2114.2
order_inflow_15m_roll10_mean,2100.2
avg_trip_distance_roll3_mean,2093.8
robot_total,1929.6
charger_count,1427.0
avg_trip_distance,1279.4
cold_chain_ratio,1271.8
floor_vibration_idx,1181.8
wind_speed_kmh,1162.2
co2_level_ppm,1161.4
robot_idle_roll10_mean,1157.6
warehouse_temp_avg,1150.0
vertical_utilization,1144.4
air_quality_idx,1134.4
inventory_turnover_rate,1130.2
wms_response_time_ms,1129.6
ups_battery_pct,1128.8
scanner_error_rate,1124.2
hvac_power_kw,1114.2
wifi_signal_db,1114.0
network_latency_ms,1113.6
pick_list_length_avg,1111.0
safety_score_monthly,1110.8
precipitation_mm,1102.8
pack_utilization,1094.8
external_temp_c,1092.6
barcode_read_success_rate,1092.4
emergency_exit_count,1088.0
return_order_ratio,1087.6
lighting_zone_variance,1083.6
humidity_pct,1082.0
lighting_level_lux,1080.0
battery_std,1067.8
bulk_order_ratio,1064.2
storage_density_pct,1054.8
packaging_material_cost,1048.8
order_inflow_15m_roll5_mean,1043.2
backorder_ratio,1041.4
avg_idle_duration_min,1036.4
pallet_wrap_time_min,1025.4
express_lane_util,1023.0
cross_dock_ratio,1015.6
ambient_noise_db,1013.8
robot_calibration_score,1011.6
path_optimization_score,1006.6
worker_avg_tenure_months,1006.0
cold_storage_temp_c,1001.4
outbound_truck_wait_min,1001.4
sku_complexity,995.6
racking_height_avg_m,993.8
quality_check_rate,981.0
charge_efficiency_pct,969.8
daily_forecast_accuracy,953.4
agv_task_success_rate,942.0
loading_dock_util,940.0
urgent_order_ratio,927.4
order_inflow_15m_roll10_std,923.6
staging_area_util,919.8
unique_sku_15m,919.2
avg_trip_distance_lag1,907.0
avg_package_weight_kg,904.6
conveyor_speed_mps,902.2
zone_temp_variance,901.6
avg_trip_distance_lag2,879.0
orders_per_active_robot,870.0
heavy_item_ratio,868.8
congestion_score_roll10_mean,868.2
dock_to_stock_hours,864.6
battery_cycle_count_avg,852.2
kpi_otd_pct,850.6
aisle_traffic_score,848.0
avg_trip_distance_lag3,829.6
shift_handover_delay_min,828.0
robot_firmware_update_days,825.4
fleet_age_months_avg,824.2
max_zone_density_roll10_mean,820.4
prev_shift_volume,813.4
sort_accuracy_pct,809.0
avg_trip_distance_lag4,796.0
label_print_queue,777.0
maintenance_schedule_score,776.2
congestion_score,769.8
intersection_wait_time_avg,760.4
avg_trip_distance_lag5,678.4
avg_trip_distance_lag6,666.6
robot_idle_roll5_mean,653.2
max_zone_density,635.0
avg_trip_distance_roll10_std,594.8
robot_idle_roll10_std,587.4
order_inflow_15m,565.6
shift_hour,561.8
order_wave_count,546.8
staff_on_floor,543.6
order_inflow_15m_lag1,529.4
order_inflow_15m_roll3_mean,525.6
congestion_score_roll10_std,525.0
day_of_week,493.4
order_pressure,473.0
robot_idle_roll3_mean,426.8
robot_idle,423.4
max_zone_density_roll10_std,414.2
robot_utilization,396.8
congestion_score_roll5_mean,391.2
battery_mean,383.6
robot_active,382.4
robot_charging,370.8
order_inflow_15m_lag3,367.6
order_inflow_15m_lag4,367.4
max_zone_density_roll5_mean,364.6
robot_availability,360.2
battery_deficit,356.0
layout_type,345.4
order_inflow_15m_lag5,343.6
low_battery_ratio_roll10_mean,342.2
congestion_x_order,336.0
order_inflow_15m_roll5_std,332.4
order_inflow_15m_lag6,331.4
forklift_active_count,329.0
order_inflow_15m_lag2,326.2
charge_bottleneck,314.0
battery_mean_lag1,303.2
congestion_score_lag1,301.2
congestion_score_roll3_mean,294.6
battery_mean_roll10_std,272.8
max_zone_density_roll3_mean,270.0
robot_idle_lag2,267.2
battery_mean_roll10_mean,261.4
congestion_score_roll5_std,252.0
low_battery_ratio,247.4
battery_mean_roll5_std,245.2
max_zone_density_lag1,244.6
robot_idle_roll5_std,242.6
avg_trip_distance_roll5_std,236.4
robot_idle_lag3,233.4
battery_mean_roll3_mean,230.8
congestion_score_lag2,221.6
congestion_score_lag6,212.8
battery_mean_roll3_std,207.8
battery_mean_lag2,205.0
max_zone_density_roll5_std,198.4
robot_idle_lag4,194.8
battery_mean_lag3,194.2
low_battery_ratio_lag1,192.6
robot_idle_lag6,191.4
low_battery_ratio_lag2,190.0
robot_idle_lag5,186.6
congestion_score_lag4,186.4
congestion_score_lag5,185.6
order_inflow_15m_roll3_std,185.0
battery_mean_lag6,184.6
low_battery_ratio_roll10_std,183.8
congestion_score_lag3,183.6
battery_mean_roll5_mean,183.0
robot_idle_lag1,179.2
max_zone_density_lag2,175.2
congestion_score_roll3_std,175.0
battery_mean_lag4,174.4
replenishment_overlap,173.0
battery_mean_lag5,170.6
low_battery_ratio_roll5_mean,168.6
max_zone_density_lag6,168.0
avg_trip_distance_roll3_std,167.4
max_zone_density_lag5,164.0
max_zone_density_lag4,158.6
low_battery_ratio_roll3_mean,157.8
avg_charge_wait,157.2
avg_recovery_time,156.8
max_zone_density_lag3,154.0
battery_crisis,147.4
low_battery_ratio_lag6,147.4
low_battery_ratio_lag5,140.2
low_battery_ratio_lag3,136.8
charge_queue_length_roll10_mean,134.0
ts_sin,130.6
low_battery_ratio_roll5_std,125.4
max_zone_density_roll3_std,122.2
low_battery_ratio_lag4,120.6
robot_idle_roll3_std,117.2
low_battery_ratio_roll3_std,115.6
ts_ratio,112.4
charge_queue_length_roll10_std,104.8
charge_queue_length_lag1,98.0
charge_queue_length_roll3_mean,94.8
charge_queue_length_roll5_mean,92.4
charge_queue_length,90.2
fault_count_15m,89.0
blocked_path_15m,87.6
near_collision_15m,86.4
charge_queue_length_lag2,79.0
charge_queue_length_lag3,77.0
charge_queue_length_lag4,74.2
task_reassign_15m,70.6
charge_queue_length_lag5,70.2
charge_queue_length_lag6,70.0
charge_queue_length_roll5_std,69.2
ts_cos,57.8
charge_queue_length_roll3_std,50.8
